Player Name,Fantasy Points,Passing Attempts,Passing Completions,Passing Yards,Passing TD,Interceptions,Passing 2PT Conversions,Rushing Attempts,Rushing Yards,Rushing TD,Rushing 2PT Conversions,Receptions,Receiving Yards,Receving TD,Receving 2PT,Fumbles
Brandon Allen,6,5,2,13,1,0,0,6,-4,0,0,0,0,0,0,0
Mitchell Trubisky,6,7,5,28,0,1,0,10,27,1,0,0,0,0,0,0
Jake Fromm,3,29,12,107,0,1,0,3,12,0,0,0,0,0,0,0
Chad Henne,3,16,11,82,0,0,0,8,0,0,0,0,0,0,0,0
C.J. Beathard,1,2,2,33,0,0,0,1,2,0,0,0,0,0,0,0
Ian Book,1,20,12,135,0,2,0,3,6,0,0,0,0,0,0,0
Blaine Gabbert,1,9,7,67,0,0,0,8,-6,0,0,0,0,0,0,0
Chris Streveler,1,9,6,36,0,0,0,3,6,0,0,0,0,0,0,0
Kurt Benkert,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0
David Blough,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0
Chase Daniel,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0
Sam Ehlinger,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0
Ryan Fitzpatrick,0,6,3,13,0,0,0,1,2,0,0,0,0,0,0,0
Kellen Mond,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Peterman,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Brett Rypien,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis Webb,0,0,0,0,0,0,0,2,-3,0,0,0,0,0,0,0
Logan Woodside,0,0,0,0,0,0,0,6,-6,0,0,0,0,0,0,0
Jacob Eason,-1,5,2,25,0,1,0,0,0,0,0,0,0,0,0,0
Feleipe Franks,-2,1,0,0,0,1,0,3,6,0,0,0,0,0,0,0
John Wolford,-2,4,1,5,0,1,0,2,-1,0,0,0,0,0,0,0
Josh Rosen,-4,11,2,19,0,2,0,0,0,0,0,0,0,0,0,0
