Player Name,Fantasy Points,Passing Attempts,Passing Completions,Passing Yards,Passing TD,Interceptions,Passing 2PT Conversions,Rushing Attempts,Rushing Yards,Rushing TD,Rushing 2PT Conversions,Receptions,Receiving Yards,Receiving TD,Receiving 2PT,Fumbles
Cooper Kupp,267,1,0,0,0,0,0,3,0,0,0,138,1829,15,1,0
Deebo Samuel,227,1,0,0,0,0,0,51,320,7,0,73,1310,6,0,2
Ja'Marr Chase,212,0,0,0,0,0,0,7,21,0,0,79,1429,13,0,1
Davante Adams,209,0,0,0,0,0,0,0,0,0,0,117,1498,11,0,0
Justin Jefferson,197,4,2,35,0,0,0,5,10,0,0,103,1509,9,0,1
Tyreek Hill,175,0,0,0,0,0,0,9,96,0,0,110,1237,9,0,1
Stefon Diggs,162,0,0,0,0,0,0,0,0,0,0,94,1144,9,0,0
Mike Evans,160,0,0,0,0,0,0,1,10,0,0,68,946,12,0,0
Diontae Johnson,157,0,0,0,0,0,0,5,53,0,0,100,1110,8,1,2
D.K. Metcalf,157,0,0,0,0,0,0,1,6,0,0,70,909,12,0,0
Mike Williams,146,0,0,0,0,0,0,0,0,0,0,67,1027,8,1,0
CeeDee Lamb,142,0,0,0,0,0,0,9,76,0,0,77,1057,6,0,0
Keenan Allen,140,1,0,0,0,0,1,0,0,0,0,100,1086,6,0,0
Tee Higgins,140,0,0,0,0,0,0,0,0,0,0,74,1091,6,1,1
Tyler Lockett,140,0,0,0,0,0,0,1,7,0,0,68,1077,6,1,0
Chris Godwin,139,0,0,0,0,0,0,4,21,1,0,98,1103,5,0,2
Hunter Renfrow,136,0,0,0,0,0,0,2,7,0,0,99,1025,7,0,1
Brandin Cooks,131,0,0,0,0,0,0,2,21,0,0,87,1011,6,0,0
Adam Thielen,128,0,0,0,0,0,0,1,2,0,0,67,726,10,0,0
Jaylen Waddle,128,0,0,0,0,0,0,2,3,1,0,99,988,5,0,1
Marquise Brown,127,0,0,0,0,0,0,1,5,0,0,88,981,6,0,1
D.J. Moore,127,0,0,0,0,0,0,7,35,0,0,86,1070,4,1,1
Michael Pittman,126,0,0,0,0,0,0,5,44,0,0,82,1018,5,0,0
Terry McLaurin,122,0,0,0,0,0,0,1,12,0,0,73,960,5,0,0
Amari Cooper,120,0,0,0,0,0,0,0,0,0,0,63,786,8,0,0
Christian Kirk,118,1,1,33,0,0,0,1,11,0,0,75,939,5,0,0
Darnell Mooney,116,0,0,0,0,0,0,6,32,1,0,69,929,4,0,0
Kendrick Bourne,114,1,1,25,1,0,0,11,117,0,0,52,776,5,0,1
DeVonta Smith,113,0,0,0,0,0,0,0,0,0,0,61,875,5,1,1
Amon-Ra St. Brown,112,0,0,0,0,0,0,6,49,1,0,82,803,4,2,0
Van Jefferson,109,0,0,0,0,0,0,2,20,0,0,48,771,6,0,0
Tyler Boyd,106,1,1,46,0,0,0,2,22,0,0,67,828,5,0,0
DeAndre Hopkins,101,0,0,0,0,0,0,0,0,0,0,42,572,8,0,0
A.J. Brown,99,2,0,0,0,0,0,2,10,0,0,59,801,4,0,0
Marquez Callaway,99,0,0,0,0,0,0,0,0,0,0,46,698,6,0,0
Brandon Aiyuk,96,0,0,0,0,0,0,5,17,0,0,50,719,5,1,1
A.J. Green,94,0,0,0,0,0,0,0,0,0,0,50,825,3,0,0
K.J. Osborn,94,0,0,0,0,0,0,1,10,0,0,49,634,6,0,0
Chase Claypool,88,0,0,0,0,0,0,11,63,0,0,54,823,1,0,0
Jakobi Meyers,88,2,2,45,0,0,0,1,9,0,0,79,796,2,2,0
Elijah Moore,88,0,0,0,0,0,0,5,54,1,0,43,538,5,0,0
Marvin Jones,87,0,0,0,0,0,0,0,0,0,0,66,744,3,0,0
Robert Woods,86,0,0,0,0,0,0,8,46,1,0,45,556,4,1,0
Tim Patrick,85,0,0,0,0,0,0,0,0,0,0,47,639,5,0,0
Emmanuel Sanders,83,0,0,0,0,0,0,2,31,0,0,42,626,4,0,0
Gabriel Davis,82,0,0,0,0,0,0,0,0,0,0,32,510,6,0,0
Courtland Sutton,82,0,0,0,0,0,0,0,0,0,0,57,763,2,1,0
Allen Lazard,77,0,0,0,0,0,0,3,32,0,0,35,438,6,0,0
Antonio Brown,76,0,0,0,0,0,0,1,6,0,0,42,545,4,0,0
Russell Gage,76,0,0,0,0,0,0,0,0,0,0,57,644,3,0,2
Odell Beckham Jr.,75,0,0,0,0,0,0,2,14,0,0,42,519,5,0,0
Byron Pringle,74,0,0,0,0,0,0,0,0,0,0,37,512,5,0,1
Cedrick Wilson,71,3,3,88,0,0,0,2,11,0,0,40,483,4,1,0
Deonte Harris,69,0,0,0,0,0,0,4,32,0,0,33,546,3,0,1
Cole Beasley,68,1,0,0,0,0,0,0,0,0,0,78,662,1,1,0
Corey Davis,68,0,0,0,0,0,0,0,0,0,0,34,492,4,0,1
Donovan Peoples-Jones,68,0,0,0,0,0,0,0,0,0,0,31,559,3,0,1
Robby Anderson,67,0,0,0,0,0,0,3,36,0,0,46,469,4,0,0
Bryan Edwards,64,0,0,0,0,0,0,1,0,0,0,30,508,3,0,0
Mecole Hardman,64,0,0,0,0,0,0,7,36,0,0,51,590,2,0,2
Braxton Berrios,63,0,0,0,0,0,0,7,40,2,0,46,431,2,0,1
Randall Cobb,63,0,0,0,0,0,0,1,1,0,0,28,375,5,0,1
Jarvis Landry,63,0,0,0,0,0,0,6,40,2,0,46,495,1,0,2
Nelson Agholor,60,0,0,0,0,0,0,3,11,0,0,36,450,3,0,0
Kalif Raymond,60,0,0,0,0,0,0,3,15,0,0,44,475,3,0,0
DeVante Parker,59,0,0,0,0,0,0,0,0,0,0,38,503,2,0,0
Marquez Valdes-Scantling,57,0,0,0,0,0,0,0,0,0,0,26,430,3,0,0
Henry Ruggs,56,0,0,0,0,0,0,3,16,0,0,24,469,2,0,0
Jamison Crowder,54,0,0,0,0,0,1,0,0,0,0,50,431,2,1,1
Michael Gallup,53,0,0,0,0,0,0,0,0,0,0,35,445,2,0,0
Jalen Guyton,53,0,0,0,0,0,0,7,34,0,0,25,396,3,0,0
Zay Jones,52,0,0,0,0,0,0,2,3,0,0,42,519,1,0,1
