Player Name,Fantasy Points,Passing Attempts,Passing Completions,Passing Yards,Passing TD,Interceptions,Passing 2PT Conversions,Rushing Attempts,Rushing Yards,Rushing TD,Rushing 2PT Conversions,Receptions,Receiving Yards,Receiving TD,Receiving 2PT,Fumbles
Jonathan Taylor,314,0,0,0,0,0,0,317,1734,18,0,37,342,2,0,2
Austin Ekeler,238,0,0,0,0,0,0,190,847,11,1,65,612,7,0,3
Joe Mixon,235,0,0,0,0,0,0,292,1205,13,0,42,314,3,0,1
Najee Harris,207,0,0,0,0,0,0,296,1172,7,0,70,440,3,0,0
James Conner,189,0,0,0,0,0,0,187,700,14,0,31,334,2,0,0
Ezekiel Elliott,186,1,1,4,0,0,0,219,915,10,3,46,284,2,0,1
Nick Chubb,179,0,0,0,0,0,0,219,1201,8,0,19,172,1,0,1
Damien Harris,174,0,0,0,0,0,0,191,892,14,0,14,96,0,0,2
Leonard Fournette,173,1,0,0,0,0,0,180,812,8,0,69,454,2,0,0
Derrick Henry,171,1,1,5,1,0,0,219,937,10,1,18,154,0,0,0
Cordarrelle Patterson,169,1,0,0,0,0,0,149,607,6,0,51,547,5,0,0
Aaron Jones,166,0,0,0,0,0,0,171,799,4,0,52,391,6,0,1
Alvin Kamara,162,0,0,0,0,0,0,210,752,4,0,45,423,5,0,0
Antonio Gibson,158,0,0,0,0,0,0,237,891,6,1,41,289,3,0,4
Dalvin Cook,157,0,0,0,0,0,0,235,1080,6,1,33,221,0,0,2
Javonte Williams,146,0,0,0,0,0,0,191,857,4,0,41,298,3,0,1
Melvin Gordon,143,0,0,0,0,0,0,191,808,7,0,27,207,2,0,2
Josh Jacobs,139,0,0,0,0,0,0,191,740,8,0,52,336,0,0,2
David Montgomery,136,1,0,0,0,1,0,205,777,7,0,40,294,0,0,1
Darrel Williams,134,0,0,0,0,0,0,137,541,6,0,44,422,2,0,0
AJ Dillon,132,0,0,0,0,0,0,173,740,5,0,33,309,2,0,1
James Robinson,131,0,0,0,0,0,0,164,767,8,0,31,222,0,0,2
Elijah Mitchell,130,0,0,0,0,0,0,186,878,5,0,19,137,1,0,0
D'Andre Swift,127,1,0,0,0,0,0,144,587,4,0,58,436,2,0,1
Darrell Henderson,123,0,0,0,0,0,0,149,688,5,0,29,176,3,0,0
Devin Singletary,120,0,0,0,0,0,0,169,782,6,0,38,204,0,0,0
Sony Michel,112,0,0,0,0,0,0,187,802,4,0,20,122,1,0,1
Myles Gaskin,110,0,0,0,0,0,0,172,613,3,0,46,223,4,0,1
Tony Pollard,106,0,0,0,0,0,0,130,719,2,0,39,337,0,0,0
Michael Carter,103,0,0,0,0,0,0,138,620,4,0,36,325,0,0,1
Devonta Freeman,98,0,0,0,0,0,0,128,555,5,0,32,184,1,0,0
Saquon Barkley,97,0,0,0,0,0,0,151,563,2,0,38,244,2,0,1
Clyde Edwards-Helaire,92,0,0,0,0,0,0,119,517,4,0,19,129,2,1,2
Chuba Hubbard,92,0,0,0,0,0,0,163,564,5,0,23,166,0,0,1
Chase Edmonds,90,0,0,0,0,0,0,116,592,2,0,43,311,0,0,1
Rhamondre Stevenson,89,0,0,0,0,0,0,129,572,5,0,13,121,0,0,1
Devontae Booker,86,0,0,0,0,0,0,137,579,2,0,38,256,1,0,0
Mike Davis,85,0,0,0,0,0,0,132,473,3,0,41,261,1,0,1
Alexander Mattison,85,0,0,0,0,0,0,129,473,3,0,31,225,1,0,1
Christian McCaffrey,84,0,0,0,0,0,0,99,442,1,0,37,343,1,0,0
Miles Sanders,84,0,0,0,0,0,0,137,754,0,1,26,158,0,0,1
Rashaad Penny,83,0,0,0,0,0,0,96,559,5,0,6,48,0,0,0
Kareem Hunt,82,0,0,0,0,0,0,78,386,5,1,22,174,0,0,0
Boston Scott,81,0,0,0,0,0,0,87,373,7,0,13,83,0,0,1
Jamaal Williams,80,0,0,0,0,0,0,140,558,3,0,25,148,0,0,0
J.D. McKissic,77,0,0,0,0,0,0,48,212,2,0,43,397,2,0,0
Ty Johnson,75,0,0,0,0,0,0,60,239,2,0,34,372,2,0,1
Mark Ingram,73,0,0,0,0,0,0,160,554,2,0,27,162,0,0,1
Zack Moss,72,0,0,0,0,0,0,91,337,4,0,21,191,1,0,1
D'Onta Foreman,70,0,0,0,0,0,0,112,497,3,0,8,108,0,0,1
Kenny Gainwell,67,0,0,0,0,0,0,56,213,4,1,29,244,1,0,1
Rex Burkhead,65,1,0,0,0,0,0,110,403,3,0,22,144,0,0,0
Latavius Murray,65,0,0,0,0,0,0,103,351,5,0,10,75,0,0,0
Kenyan Drake,63,0,0,0,0,0,0,63,254,2,0,30,291,1,0,0
Ronald Jones II,61,0,0,0,0,0,0,101,428,4,0,10,64,0,0,2
Nyheim Hines,60,0,0,0,0,0,0,56,276,2,0,38,291,1,0,2
Khalil Herbert,57,0,0,0,0,0,0,99,422,2,0,14,96,0,0,0
Jordan Howard,56,0,0,0,0,0,0,86,406,3,0,2,19,0,0,0
D'Ernest Johnson,56,0,0,0,0,0,0,75,411,2,0,18,127,0,0,0
Brandon Bolden,55,0,0,0,0,0,0,37,180,0,1,39,385,1,0,0
Justin Jackson,55,0,0,0,0,0,0,65,344,2,0,22,178,0,0,1
Alex Collins,53,0,0,0,0,0,0,108,411,2,0,9,87,0,0,1
