Player Name,Fantasy Points,Passing Attempts,Passing Completions,Passing Yards,Passing TD,Interceptions,Passing 2PT Conversions,Rushing Attempts,Rushing Yards,Rushing TD,Rushing 2PT Conversions,Receptions,Receiving Yards,Receiving TD,Receiving 2PT,Fumbles
Nelson Agholor,53,0,0,0,0,0,0,2,7,0,0,39,363,3,1,1
Tajae Sharpe,52,0,0,0,0,0,0,0,0,0,0,25,329,4,0,0
Keelan Cole,50,0,0,0,0,0,0,1,6,0,0,24,361,3,0,0
Ted Ginn Jr.,50,0,0,0,0,0,0,3,18,0,0,30,421,2,0,0
Marquez Valdes-Scantling,50,0,0,0,0,0,0,2,9,0,0,26,452,2,0,0
Tre'Quan Smith,49,0,0,0,0,0,0,0,0,0,0,18,234,5,0,0
Alex Erickson,47,1,1,26,0,0,0,5,33,0,0,43,529,0,0,2
Allen Hurns,47,0,0,0,0,0,0,0,0,0,0,32,416,2,0,1
Adam Humphries,46,0,0,0,0,0,0,1,1,0,0,37,374,2,0,0
Demaryius Thomas,45,0,0,0,0,0,0,0,0,0,0,36,433,1,0,0
Russell Gage,43,0,0,0,0,0,0,4,12,0,0,49,446,1,0,1
Josh Gordon,41,1,0,0,0,1,0,1,1,0,0,27,426,1,0,0
Olabisi Johnson,41,0,0,0,0,0,0,1,6,0,0,31,294,3,0,0
Cody Latimer,38,0,0,0,0,0,0,0,0,0,0,24,300,2,0,0
Albert Wilson,38,2,1,20,0,0,0,5,45,0,0,43,351,1,0,0
Damiere Byrd,37,0,0,0,0,0,0,0,0,0,0,32,359,1,0,1
David Moore,37,0,0,0,0,0,0,3,25,0,0,17,301,2,0,1
Geronimo Allison,36,0,0,0,0,0,0,1,7,0,0,34,287,2,1,1
Marcus Johnson,36,0,0,0,0,0,0,0,0,0,0,17,277,2,0,0
Josh Reynolds,36,0,0,0,0,0,0,5,23,0,0,21,326,1,0,0
Miles Boykin,34,0,0,0,0,0,0,0,0,0,0,13,198,3,0,0
Paul Richardson,33,0,0,0,0,0,0,1,0,0,0,28,245,2,0,0
Seth Roberts,33,0,0,0,0,0,0,0,0,0,0,21,271,2,0,0
Kelvin Harmon,32,1,1,11,0,0,0,0,0,0,0,30,365,0,0,0
Isaiah McKenzie,32,0,0,0,0,0,0,8,49,0,0,27,254,1,0,0
DaeSean Hamilton,31,0,0,0,0,0,0,0,0,0,0,28,297,1,0,0
Jaron Brown,30,0,0,0,0,0,0,0,0,0,0,16,220,2,0,1
Jakobi Meyers,30,0,0,0,0,0,0,0,0,0,0,26,359,0,0,0
Greg Ward,30,0,0,0,0,0,0,1,5,0,0,28,254,1,0,0
Tavon Austin,29,0,0,0,0,0,0,6,47,1,0,13,177,1,0,0
Vyncint Smith,29,0,0,0,0,0,0,3,52,1,0,17,225,0,0,1
Marvin Hall,28,0,0,0,0,0,0,1,7,0,0,7,261,1,0,0
Keke Coutee,27,0,0,0,0,0,0,2,14,1,0,22,254,0,0,1
DeSean Jackson,27,0,0,0,0,0,0,0,0,0,0,9,159,2,0,0
Chester Rogers,27,0,0,0,0,0,0,1,18,0,0,16,179,2,0,1
Malik Turner,27,0,0,0,0,0,0,0,0,0,0,15,245,1,0,0
Justin Watson,25,0,0,0,0,0,0,0,0,0,0,15,159,2,0,0
Pharoh Cooper,24,0,0,0,0,0,0,1,2,0,0,25,243,1,0,0
Scott Miller,24,0,0,0,0,0,0,2,16,0,0,13,200,1,0,0
Damion Ratley,24,0,0,0,0,0,0,0,0,0,0,12,200,1,0,0
Isaiah Ford,23,0,0,0,0,0,0,1,11,0,0,23,244,0,0,0
Marquise Goodwin,23,0,0,0,0,0,0,1,15,0,0,12,186,1,0,0
N'Keal Harry,23,0,0,0,0,0,0,5,49,0,0,12,105,2,0,0
Jake Kumerow,23,0,0,0,0,0,0,0,0,0,0,12,219,1,0,0
Andy Isabella,22,0,0,0,0,0,0,4,15,0,0,9,189,1,0,0
KeeSean Johnson,22,0,0,0,0,0,0,1,3,0,0,21,187,1,1,1
Trey Quinn,22,0,0,0,0,0,0,0,0,0,0,26,198,1,1,1
Laquon Treadwell,22,0,0,0,0,0,0,0,0,0,0,9,184,1,0,0
Jarius Wright,22,0,0,0,0,0,0,1,-7,0,0,28,296,0,0,0
Bennie Fowler,21,0,0,0,0,0,0,1,20,0,0,23,193,0,1,0
Dante Pettis,21,1,1,16,0,0,0,0,0,0,0,11,109,2,0,0
Javon Wims,21,0,0,0,0,0,0,0,0,0,0,18,186,1,0,0
Trevor Davis,20,0,0,0,0,0,0,4,73,1,0,8,111,0,0,2
Byron Pringle,20,0,0,0,0,0,0,0,0,0,0,12,170,1,0,0
Kalif Raymond,20,0,0,0,0,0,0,1,-5,0,0,9,170,1,0,1
D'haquille Williams,20,0,0,0,0,0,0,0,0,0,0,12,166,1,0,0
J.J. Arcega-Whiteside,19,0,0,0,0,0,0,0,0,0,0,10,169,1,0,0
Jakeem Grant,19,0,0,0,0,0,0,4,5,1,0,19,164,0,0,1
Richie James,19,0,0,0,0,0,0,2,-1,0,0,6,165,1,0,1
Tim Patrick,19,0,0,0,0,0,0,0,0,0,0,16,218,0,0,0
Parris Campbell,18,0,0,0,0,0,0,4,34,0,0,18,127,1,0,1
Olamide Zaccheaus,17,0,0,0,0,0,0,0,0,0,0,3,115,1,0,0
Zay Jones,16,0,0,0,0,0,0,1,3,0,0,27,216,0,0,0
Devin Smith,16,0,0,0,0,0,0,0,0,0,0,5,113,1,0,0
Justin Hardy,15,0,0,0,0,0,0,0,0,0,0,19,195,0,0,0
Dontrelle Inman,14,0,0,0,0,0,0,0,0,0,0,12,181,0,0,0
DeAndre Carter,13,0,0,0,0,0,0,0,0,0,0,11,162,0,0,1
Ty Montgomery,13,0,0,0,0,0,0,32,103,0,0,13,90,0,0,0
Mack Hollins,12,0,0,0,0,0,0,0,0,0,0,10,125,0,0,0
Antonio Brown,11,0,0,0,0,0,0,1,5,0,0,4,56,1,0,0
Keelan Doss,11,0,0,0,0,0,0,0,0,0,0,11,133,0,0,0
Rico Gafford,11,0,0,0,0,0,0,0,0,0,0,2,66,1,0,0
Deon Cain,10,0,0,0,0,0,0,0,0,0,0,9,124,0,0,0
Rashard Higgins,10,0,0,0,0,0,0,0,0,0,0,4,55,1,0,0
Marcell Ateman,9,0,0,0,0,0,0,0,0,0,0,5,116,0,0,1
T.J. Jones,9,0,0,0,0,0,0,0,0,0,0,3,38,1,0,0
J.J. Nelson,9,0,0,0,0,0,0,0,0,0,0,4,36,1,0,0
Brandon Zylstra,9,0,0,0,0,0,0,0,0,0,0,8,106,0,0,0
Braxton Berrios,8,0,0,0,0,0,0,0,0,0,0,6,115,0,0,1
Antonio Callaway,8,0,0,0,0,0,0,0,0,0,0,8,89,0,0,0
Robert Foster,8,0,0,0,0,0,0,2,29,0,0,3,64,0,0,0
Christian Blake,7,0,0,0,0,0,0,0,0,0,0,11,91,0,0,0
Ventell Bryant,7,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0
Chad Beebe,6,0,0,0,0,0,0,0,0,0,0,2,70,0,0,0
Khadarel Hodge,6,0,0,0,0,0,0,0,0,0,0,4,76,0,0,0
Riley Ridley,6,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0
Trent Sherfield,6,0,0,0,0,0,0,0,0,0,0,4,80,0,0,0
Damion Willis,6,0,0,0,0,0,0,0,0,0,0,9,82,0,0,0
Chris Lacy,5,0,0,0,0,0,0,0,0,0,0,3,60,0,0,0
Deontay Burnett,4,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0
Chris Hogan,4,0,0,0,0,0,0,0,0,0,0,8,67,0,0,0
Alexander Hollins,4,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0
Tevin Jones,4,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0
Jason Moore,4,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0
DeAndrew White,4,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0
Cedrick Wilson,4,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0
Geremy Davis,3,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0
Devin Funchess,3,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0
Deonte Harris,3,0,0,0,0,0,0,4,31,0,0,6,24,0,0,1
Ishmael Hyman,3,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0
Steven Mitchell,3,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0
Andre Patton,3,0,0,0,0,0,0,0,0,0,0,6,56,0,0,0
Travis Benjamin,2,0,0,0,0,0,0,0,0,0,0,6,30,0,0,0
C.J. Board,2,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0
Cody Core,2,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0
Jordan Matthews,2,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0
Gunner Olszewski,2,0,0,0,0,0,0,0,0,0,0,2,34,0,0,1
Da'Mari Scott,2,0,0,0,0,0,0,1,5,0,0,2,22,0,0,0
Cam Sims,2,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0
Ryan Switzer,2,0,0,0,0,0,0,0,0,0,0,8,27,0,0,0
Jesus Wilson,2,0,0,0,0,0,0,0,0,0,0,3,35,0,0,1
Josh Bellamy,1,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0
Fred Brown,1,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0
Michael Crabtree,1,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0
Rashard Davis,1,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0
Robert Davis,1,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0
Ashton Dulin,1,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0
John Franklin,1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0
Ryan Grant,1,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0
Cody Hollister,1,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0
Johnny Holton,1,0,0,0,0,0,0,1,9,0,0,3,21,0,0,0
Darius Jennings,1,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0
Donte Moncrief,1,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0
Chris Moore,1,0,0,0,0,0,0,1,0,0,0,3,21,0,0,0
Russell Shepard,1,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0
Jeff Smith,1,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0
John Ursua,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0
Austin Carr,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0
Cyril Grayson,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
Dwayne Harris,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
Krishawn Hogan,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
Marqise Lee,0,0,0,0,0,0,0,1,1,0,0,3,18,0,0,0
Stanley Morgan,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0
Andre Roberts,0,0,0,0,0,0,0,1,7,0,0,3,20,0,0,0
Jaleel Scott,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0
Diontae Spencer,0,0,0,0,0,0,0,3,6,0,0,6,31,0,0,1
De'Anthony Thomas,0,0,0,0,0,0,0,2,5,0,0,1,6,0,0,0
Mike Thomas,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0
Jamal Agnew,-1,0,0,0,0,0,0,1,9,0,0,1,-2,0,0,1
Greg Dortch,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Quincy Enunwa,-1,0,0,0,0,0,0,0,0,0,0,1,-4,0,0,1
Ray Ray McCloud,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Darrius Shepherd,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Michael Walker,-2,0,0,0,0,0,0,0,0,0,0,2,15,0,0,2
