Player Name,Fantasy Points,Passing Attempts,Passing Completions,Passing Yards,Passing TD,Interceptions,Passing 2PT Conversions,Rushing Attempts,Rushing Yards,Rushing TD,Rushing 2PT Conversions,Receptions,Receiving Yards,Receiving TD,Receiving 2PT,Fumbles
Andrew Beck,12,1,1,6,0,0,0,1,3,0,0,9,90,1,0,0
Trey Edmunds,11,0,0,0,0,0,0,22,92,0,0,6,48,0,0,0
Kerrith Whyte,11,0,0,0,0,0,0,24,122,0,0,1,9,0,0,0
Alec Ingold,9,0,0,0,0,0,0,10,17,0,0,6,44,1,0,0
Marshawn Lynch,9,0,0,0,0,0,0,12,34,1,0,0,0,0,0,0
Javorius Allen,8,0,0,0,0,0,0,10,36,1,0,1,9,0,0,0
Andy Janovich,8,0,0,0,0,0,0,1,1,1,0,5,42,0,0,0
Troymaine Pope,8,0,0,0,0,0,0,10,20,0,0,2,14,1,0,1
Patrick Ricard,8,0,0,0,0,0,0,0,0,0,0,8,47,1,0,0
Wendell Smallwood,8,0,0,0,0,0,0,22,81,0,0,9,64,0,0,0
Derek Watt,8,0,0,0,0,0,0,7,10,1,0,3,32,0,0,0
D'Ernest Johnson,7,0,0,0,0,0,0,4,21,0,0,6,71,0,0,0
Darren Sproles,7,0,0,0,0,0,0,17,66,0,1,6,24,0,0,0
Dan Vitale,7,0,0,0,0,0,0,1,3,0,0,7,97,0,0,0
Alex Armah,6,0,0,0,0,0,0,6,11,1,0,2,6,0,0,0
Jon Hilliman,6,0,0,0,0,0,0,30,91,0,0,3,1,0,0,2
Spencer Ware,6,0,0,0,0,0,0,17,51,0,0,5,22,0,0,0
Tra Carson,5,0,0,0,0,0,0,18,48,0,0,4,18,0,0,0
Dwayne Washington,5,0,0,0,0,0,0,8,60,0,0,1,6,0,0,0
Khari Blasingame,4,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0
Devontae Booker,4,0,0,0,0,0,0,2,9,0,0,6,57,0,0,0
Taiwan Jones,4,0,0,0,0,0,0,9,40,0,0,1,9,0,0,0
Devine Ozigbo,4,0,0,0,0,0,0,9,27,0,0,3,23,0,0,0
C.J. Anderson,3,0,0,0,0,0,0,16,43,0,0,0,0,0,0,0
Mike Davis,2,0,0,0,0,0,0,13,27,0,0,7,22,0,0,0
Dalyn Dawkins,2,0,0,0,0,0,0,11,26,0,0,0,0,0,0,0
Patrick DiMarco,2,0,0,0,0,0,0,3,7,0,0,5,41,0,0,0
Zach Line,2,0,0,0,0,0,0,7,20,0,0,6,36,0,0,0
Elijhaa Penny,2,0,0,0,0,0,0,15,39,0,0,2,9,0,0,0
Jay Ajayi,1,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0
Kenjon Barner,1,1,1,3,0,0,0,4,28,0,0,6,22,0,0,1
Nick Bawden,1,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0
Tony Brooks-James,1,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0
Tyler Ervin,1,0,0,0,0,0,0,1,10,0,0,2,11,0,0,0
Damien Harris,1,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0
T.J. Logan,1,0,0,0,0,0,0,3,10,0,0,2,13,0,0,0
Samaje Perine,1,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0
Paul Perkins,1,0,0,0,0,0,0,12,29,0,0,1,9,0,0,0
Anthony Sherman,1,0,0,0,0,0,0,4,9,0,0,2,22,0,0,0
Keith Smith,1,0,0,0,0,0,0,5,8,0,0,1,13,0,0,0
Zach Zenner,1,0,0,0,0,0,0,3,-2,0,0,2,19,0,0,0
Josh Adams,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0
James Develin,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
Josh Ferguson,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0
Greg Howell,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0
Jakob Johnson,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0
John Kelly,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0
Alfred Morris,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
Ryan Nall,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0
Roosevelt Nix,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
Ricky Ortiz,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0
Senorise Perry,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0
Jordan Scarlett,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0
De'Lance Turner,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0
Dexter Williams,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0
Corey Clement,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
